input_text,target_expl,generated_expl
"they kept doing things the same, she suggested they also try doing things what?, differently, only, or otherwise? commonsense says",we only do things differently,"if you do not want to do something, that means you will be doing the same thing."
"where in my house would i put boiling water if i want it to become cold water?, water cooler, refrigerator, or water fountain? commonsense says",cold water take is freezer and refrigerator,boiling water is very cold so a cold water can be stored in a refrigerator.
"where would you store a pillow case that is not in use?, england, bedroom, or drawer? commonsense says",drawer is the best place to store some things,a pillow is used for sleeping.
"what has a shelf that does not allow you to see what is inside of it?, bookcase, grocery store, or chest of drawers? commonsense says",chest of drawers | ashley furniture homestore,shelves are not in a house
"james found the sound relaxing. it was so relaxing he almost did what despite his efforts?, fall asleep, deep breathing, or feeling good? commonsense says",james a fall asleep sound relaxing efforts,that's the best option since that's where there are more roses
"where is the sky most beautiful?, outdoors, atmosphere, or planetarium? commonsense says",the beautiful of the sky outdoors,the atmosphere is the only option where an ocean is most likely to have an ocean.
"where would you get a shower curtain if you do not have one?, department store, hotel, or bathtub? commonsense says",one can buy it from the departmental store.,a hotel is the only place where you can get a bath and get a bath.
"if you want to learn about the world and understand the real reasons behind cultural norms and mores, you have achieved a sense of what?, enlightenment, open mind, or smartness? commonsense says","mores and norms are expectations that exist in a particular culture. culture consists of learned, shared behaviors amongst members of a societal group one is raised in. in addition to mores and norms, cultures also have pre - defined folkways or customs, and taboos which are considered unacceptable cultural violations.",the best reason to listen to the world is to learn new things.
"what mall store sells jeans for a decent price?, clothing store, gap, or thrift store? commonsense says",gap is the only mall store on the list,a mall sells both clothing and clothing.
"where do you go on a night out before going to the bar?, nightclub, new york city, or restaurant? commonsense says",a night out before goint to the restaurant,you go to a bar to get a drink and then go to a bar
"what does a person from avalon live in?, meaningful work, cotton candy, or english house? commonsense says",an avalon is english.,england is the only place outside of the choices.
"the lawnmower stopped working, so john put it in his car and took it where?, lawn, repair shop, or garage? commonsense says",one needs to take a lawnmower to a repair shop if the lawnmower stops working,a repair shop is the only place where you can fix a car.
"a supermarket is uncommon in what type of collection of shops?, vermont, city or town, or strip mall? commonsense says",a collection of shops is often called a strip mall,"apart from rural areas, there are more than 100 % store stores than a supermarket or supermarket."
"why do people stop caring about their problems?, become disillusioned, better themselves, or face problems? commonsense says",people who are disillusioned stop caring.,better yourself is the only negative answer to people's feelings about people.
"where would someone keep their nylon leggings?, stockings, rope, or drawer? commonsense says",drawer would someone keep their nylon leggings?,the suitcase is the only place that would be kept.
"james loved to surf but he wasn't good at it. he would always do what?, drown, wipe out, or get wet? commonsense says",james loved to surf but wipe out he would always do what?,swimming can be a great thing to most people avoid by swimming.
"while john candy and dan aykroyd didn't run into a gazelle, you'd have to go where to see one?, eastern hemisphere, television program, or great outdoors? commonsense says",great outdoorswhile john candy and dan aykroyd didn't run into a gazelle,the television show is the only one that has a character
"if a lizard is fed by people every day, what has happened to it?, documentary, costa rica, or captivity? commonsense says","lizards in the wild aren't fed by people, so the lizard is in captivity",lizards live in the open
"the dog curled up for a nap, it was tuckered out because it had just been what?, go outside, affection, or walked? commonsense says",. walkeddog curled up for a nap answer choices :,dog's need to rest when they are tired.
"why would you not trust your friends after chatting with friends?, lie, smoke, or laughing? commonsense says","as a counselor, i provide clients with a space where they can truly let go of their burdens and reveal their secrets, troubles, fears, and aspirations. the guarantee of privacy and respect of confidentiality extends all the way to the point where the threat of harm to themselves or others is indicated as likely to occur. up to that point, we offer the sanctity of privacy.",lies are a form of lying
"who is the guard here for?, attack, unprotected, or prisoner? commonsense says",prison is the only place that would have a guard.,a guard's job is to protect.
"where is a good place to obtain new soap?, own home, supermarket, or cabinet? commonsense says",new soaps are sold in supermarkets.,"you don't need to buy soap and new appliances, and a pharmacy is unlikely to have one at a grocery store."
"the pioneer went to the general store for storage measures, what was he looking for?, salt, barrels, or baking soda? commonsense says",barrel | meaning in the cambridge english dictionary,it is a good storage unit for the food
"donald is a prominent figure for the federal government, so in what city does he likely spend a lot of time?, capitol building, washington d. c, or everything? commonsense says",this is a list of notable individuals and organizations who voiced their endorsement for the... 1. 1 former u. s. federal government... 1. 7 notable individuals... strategists ; 1. 7. 4 radio hosts ; 1. 7. 5 religious leaders ; 1. 7. 6 republican party figures...,washington dc is a city and the most populous city in the world
"no matter what date you put on it, we all know the universe to be what?, infinite, very old, or real? commonsense says",in very old of the matter,a public place is the only option that holds a lot of information.
"the place where my linen closet is really needs repainting a light color as it only has one overhead light., home, house, or hallway? commonsense says",the place where my linen closet is really needs repainting a hallway as it only has one overhead light.,a house is the only place that is not likely to have a linen closet.
"janet was watching the film because she liked what?, fear, being entertained, or laughter? commonsense says",janet was watching the film from being entertained liked,"when one is entertained by the movie, it makes sense that the audience enjoys it."
"the person saw the mess his children made, what was his following reaction?, smell smoke, look angry, or bank savings? commonsense says",anger is a common reaction to mess,anger is a very common emotion in an anger.
"the coach decided to make a lineup change, the team's effort was suffering from what?, paper money, tradition, or stagnation? commonsense says",stagnation the coach decided to make a lineup change,"a. union member, or a disappoint person, would make up a lot of errors."
"how are the conditions for someone who is living in a homeless shelter?, death, growing older, or sometimes bad? commonsense says",homeless shelters aren't always good places to be,"a person is homeless and they are most likely to live outside a house, as they do not need shelter from the elements."
"name a location where you would not want to find mice., attic, countryside, or laboratory? commonsense says","mice in an attic indicate an infestation. in a countryside they're wild, and in a laboratory they're there for experiments.",countryside is the only place you would find an orchard.
"after working on the car, what did it end up doing?, start running, going too fast, or last several years? commonsense says",how to start running. starting to run is easy,if something is too hard it will be stopped.
"noble citizen of the roman empire believed those born with lower status were what to them?, ignoble, plebeian, or inferior? commonsense says",noble citizenn of the roman empire believed inferior in lower status,people who are raised in a poor region would be considered poorer than the others.
"who generally builds a building?, tradesmen, builders, or architect? commonsense says",it takes humans to build things.,architect are designers for building
"bob's only light source was a small bulb. there were four walls, if there was a door he couldn't see it. what was bob in?, closed room, dard, or sky? commonsense says",closed room in the bub,light is the only thing that can be seen through a door.
"from where would you normally take a cup when you're about to get a drink?, kitchen cabinet, water fountain, or sand box? commonsense says",get a drink in kitchen cabinet,the only drink you can do with a cup of water is drink
"what can eating hamburger cause immediately after eating it?, tasty, health problems, or indigestion? commonsense says",indigestion is often a sign of an underlying problem,eating a hamburger will cause you to feel full
"where would you get some wood if you do not have any?, synagogue, lumberyard, or carpet? commonsense says",i consider it the best option because they have to be more true,wood from a hardwood store would be found.
"what must happen for an animal to and it's offspring to continue livng?, reproducing, eventually die, or food consumed? commonsense says",food consumed by anmimal,is the best since it is the best backup
"what is a form of anaerobic exercising?, run, lift weights, or shortness of breath? commonsense says",anaerobic exercising from run,the process of aging in humans
"where would you get some maps that you own?, library, bookstore, or cabinet? commonsense says",i get it in bookstore,"libraries have books, so we can get them from the library."
"miss grady took a stick from bob because he was playing with it during class. she wanted to make sure that he couldn't get to it so she put it where?, office, classroom, or desk drawer? commonsense says",playing with it during class using desk drawer,school is the only place that he could get a stick.
"what is main benefit to exercising?, weight loss, get in shape, or sweat? commonsense says",the daily exercising can give us goop shape.,the gym is the only place you can exercise and exercise
"joe was there to meet a large number of people. as he filed though the entrance hall, he saw many strangers who came from far away. what sort of building is he probably in?, public building, convention center, or large building? commonsense says",convention center meeting a large number of people,a public building would be a large enough place to stand for a meeting.
"danny found that the carpet did not, match the drapes, which was disappointing, because this place was expensive. but it was the only place in town that wasn't booked solid for the week and he needed it while he was in town, so he couldn't complain. where might this place be?, bowling alley, restaurant, or at hotel? commonsense says",this does not make sense,"if he was at a hotel, it was obvious that he was at a hotel, but that was what he was selling."
"after he got hired he hoped for success at his what?, michigan, new job, or vocation? commonsense says",he get hired hoped to search a new job,a. a.. a.. a.. a.. a.. a.. a.. a.. a.. a. a.. a. a.. a.. a. a. a. a. a.. a. a.. a. a. a.. a.. a a.. a.. a.. a.. a a... a.. a.. a.. a a.. a.. a a.. a a.. a a.. a a.. a.. a a... a
"minerals can be obtained in what way for a person who avoids leafy greens?, earth, ore, or multivitamin? commonsense says","leafy greens are high in vitamins, and people dont get vitamins from the earth or ore",rocks are the only place that is not likely to have gold
"where are there likely to be a variety of flats to choose from?, city, apartment building, or london? commonsense says","the city has a lot of flats, they could be in london, and "" apartment building "" doesnt make sense","in the apartment building we can find flats and flats, but in the other two options, we can find flats, and apartment buildings are usually smaller than a city."
"the boat passenger was explaining his fear of blowfish, but the captain figured he meant piranhas since they were on a river in the what?, jungle, atlantic ocean, or cuba? commonsense says","blowfish has gone through a great deal of analysis and testing to prove its merit. in fact, since it is open to the public and freely available, its creator encourages... missing",there is a great deal of water in the atlantic ocean.
"printing on a printer can get expensive because it does what?, queue, use paper, or noise? commonsense says",printing uses paper which can be expensive,printing is a way to get people to work on a printer.
"homer had to stop because of bad weather and he went to a snack bar to eat while he waited for the weather to clear. where might homer have been?, race track, airport, or bus depot? commonsense says",rajiv gandhi hyderabad international airport,race track is the only place that is likely to have a good weather weather weather.
"the church was giving assistance, what were they hoping to accomplish?, hardship, risk taking, or helping others? commonsense says",by helping others we are making this world a better place,people who are helping are likely to give assistance
"when you pass someone that you were behind now where are you in relation to them?, in front, before, or ahead? commonsense says",if you pass from behind you end up in front.,you are not on the left side.
"what is someone likely to want as a result of sex?, procreation, human experience, or reproductive cycle? commonsense says",great outdoors at in home on proceration,"in the first part of sex, one can have sex."
"if you spend a long time running after a ball how are you likely to feel?, breathing heavily, tiredness, or sweating? commonsense says",spend in the tiredness,sweating is the only thing that you would feel after a long day of work.
"a good interview after applying for a job may cause you to feel what?, hope, income, or offer? commonsense says",talking points to make a great impression during your next job interview,"to get a job good, you want to find a good reason to stay in a long time."
"what is a philosopher waiting for to eventually gain through his studies?, boredom, wisdom, or impatience? commonsense says",is the best option in all,"the prospect of reaching enlightenment is attainable, as the prospect of reaching enlightenment is not a desire for anything, but it may be a desire for something."
"if i want to watch a movie without leaving my home what might i use?, television, video store, or show? commonsense says",watching new movie in television at night,video store is the only place that you can purchase a television.
"what is made up of people?, classroom, audience, or buildings? commonsense says",audience is made of pepople,"a school is a building, not a group of people."
"what part of plants is pretty?, roots, millions of cells, or flowers on? commonsense says",the plan of pretty is flower on,plants are comprised of millions of cells like all living things on earth
"dan was ditting quietly on the couch with a book in his hand. laurie thought that he was just focused on what he was doing, but he actually did what?, think, reading, or fall asleep? commonsense says",is the best option in all,because i think it's the closest one
"where are you likely to find much more than a drop of blood on the floor?, needle, slaughter house, or blood bank? commonsense says",slaughter house is the place for able to store the lot of blood drop on the floor,blood is found in the blood
"where can you go to use a piano in your neighborhood if you don't have one?, music school, neighbor's house, or music store? commonsense says",use a piano in a neighbor's house only because it is theirs only,a school would have a lot of people in it.
"the pitcher felt stress and tension on the mound, what did he feel like?, baseball stadium, baseball diamond, or hell? commonsense says",hell have full of stress and tension,a baseball game is the only option that is a sport.
"the two played video games all night in the living room, he enjoyed visiting where?, home, apartment, or friend's house? commonsense says",the two played video games friend's house all night in the living room,friend's house is the only place that is likely to have a couch.
"if i was getting drunk, and people couldn't understand me, what might i be having?, forgetfulness, pass out, or slurred speech? commonsense says","getting drunk would most likely involved slurred speech, especially if you're still "" getting drunk "" and not drunk already.",drunk people can be drunk and have a hard time speaking.
"what are people likely to want to do with their friends?, spend time, own home, or own land? commonsense says",spending time of the three choices is the one people do with their friends most.,own home is the only place that can make people feel comfortable
"a bald eagle is likely to be found on what kind of work?, aviary, painting, or rural area? commonsense says",while we seeing the bald eagle in the sky it will form the painting for us,the only place that might have
"where could you find a bureau as well as many politicians?, each city, office building, or washington dc? commonsense says",a bureau as well as many washington dc,the only place that might have
"where would you put uncooked crab meat?, stew pot, boss's office, or red lobster? commonsense says","people cook crab, and to do so, you'd have to put it in a pot",the only place that might have
"the computer was difficult for he to understand at the store, so what did she sign up for to learn more?, apartment, demonstration, or classroom? commonsense says",because the food was fine demonstration,a teacher teaches in a classroom so this would be the most logical answer.
"where would you borrow furniture if you do not have any?, apartment, neighbor's house, or floor? commonsense says","if there ’ s one thing no one ever tells you about adulthood, it ’ s how easy it is to accumulate stuff. let ’ s face it : many families have tools, home decor, clothing, and seasonal storage crammed in closets, attics, and, of course, the garage.",because i think it's the closest one
"how would you get from one side of a canal to another?, amsterdam, venice, or bridge? commonsense says","free online bridge. largest bridge site in the world. duplicate, tournaments, money games, vugraph, more.","in order for communication between two bodies, a bridge is a bridge"
"where is a public monument likely to be erected by a city?, cemetary, municipal park, or public gardens? commonsense says",municipal park public monument likely to be erected by a city?,public place is the place to public place to do civic activity
"what do people do when networking?, jump to conclusions, hurry home, or build trust? commonsense says","if you're networking, you're looking to gain customers and customers need to trust you.",people typically start to work when they are ready to go somewhere.
"what does every person want?, larger house, life partner, or second chances? commonsense says","of the three, life partner is what most people would want, since love is part of the meaning of life.","a big family is the only one that has a big family, and everyone can choose one from one another."
"where is the worst place to be in a ticket office?, end of line, train station, or opera house? commonsense says",end of line an the place office,ticket booth is in the ticket office
"what might a kind person do?, open doors, study greek, or talk to themselves? commonsense says",kind person to do work without the noise,a person is able to speak a greek language
"how can people fulfill their own calorie requirements?, feel lonely, feed themselves, or compete with each other? commonsense says",it is only through eating that we get calories,the only thing that people want to do is to get in the sun.
"the princess was pure, the evil wizard wished to do what to her?, corrupt, contaminated, or applied? commonsense says",corrupt princess was pure,the only thing that can be possessed is a witch.
"if a heifer is really high quality, you might take her where?, corral, dairy barn, or cattle show? commonsense says",high quality of heifer are used in the cattle show,a cow that is not in the breeding stock would be able to raise a calf.
"where are the most famous bbq steakhouses in america?, texas, maine, or kansas city? commonsense says","from roadside shacks to sprawling eateries serving saucy smoked ribs, brisket and pulled pork, here are the best bbq restaurants in america",new york city is known for its bbqq
"what do people do when they think too quickly?, hurry home, build trust, or jump to conclusions? commonsense says",""" jump to conclusions "" means thinking too quickly without considering other options. the other two choices dont make sense","people rush when they don't have courage, so they rush quickly"
"what do people want to acquire from opening business?, lose money, wealth, or get rich? commonsense says",wealth people want to acquire from opening business,selling money is a way to get money to get money.
"sam couldn't get back to sleep because of a dream he had. it was a what?, reality, awake, or nightmare? commonsense says",that's the best option since that's where there are more roses,dreams happen during a sleep.
"how might releasing energy that has built up feel?, damage, exhaustion, or wonderful? commonsense says","inspiring delight, pleasure, or admiration ; extremely good ; marvellous.",it's the only one that has an emotion.
"what do humans do to other humans after death?, decomposition, rebirth, or burial? commonsense says",humans do to other humans after death they are change to soul.,the other answers do not make sense. death is the only answer that makes sense.
"he looked at the field of pumps, all slowing churning oil out of the what?, street, ground, or restaurant? commonsense says","fu shaoquan looked at yao mang in the darkness, and his heart was long gone - a... when fu shao went all the way to this field, he saw a how to penis pump...",the only place that might have
"what can machines do that humans cannot?, fail to work, answering questions, or fly? commonsense says","humans cannot fly, but can both fail to work and answer questions",machines can only be made of metal
"they children loved having a back yard, and the parents loved that it was a safe what?, neighborhood, suburb, or property? commonsense says",neighborhood love children having a back yard,a suburb is a good place to have a warm neighborhood.
"the detective was finding information from witnesses, why would he do that?, power, get answers, or happiness? commonsense says",detectives have to get answers from witnesses,investigator is to investigate and find out the truth.
"what do parents tell a child to do on the weekend?, begin school, row boat, or go out to play? commonsense says",children don't have school on weekends so they typically go play.,parents can go to a camp together to relax on the weekends.
"when someone is talking and you missed something, what can you do to get them to repeat it?, ask question, walking, or think? commonsense says",you would ask question if something isnt clear,if you ask a question you have to answer it
"sarah dropped the marble because she wanted to do what?, pouch, game, or store? commonsense says",game is the only thing of the three that a marble involves and that someone would want to do.,she would need to get her sword to get her mom to do what she wanted.
"if i am suffering from boredom, and i want to see something beautiful, what should i do?, grocery shop, do crossword puzzle, or see art? commonsense says",see art i am suffering from boredom,i consider it the best option because they have to be more true
"what does a kindergarten teacher do before nap time?, encourage, lower expectations, or tell story? commonsense says",children are usually interested to hear the story,teachers want to do the day before they go to bed
"the audience listened to the orchestra play, where were they watching the performance?, sporting event, concert hall, or school? commonsense says",the audience can listen to an orchestra play only by sitting in a concert hall.,a concert is the only place that plays professionally.
"farm land makes use of what?, michigan, north dakota, or farming areas? commonsense says",land is the best marketing in future so use it well.,farming is a practice of farming and farming in the countryside.
"where does one usually keep literature?, books and magazines, shelf, or own home? commonsense says",shelf does one usually keep literature,is the best since it is the best backup
"i couldn't find anybody who recalled the event, what were they adroit at doing?, wash dishes, question authority, or forget? commonsense says","everyone forgot the event, so forget is the word that corresponds most and makes most sense.",the person must have skill to recall things.
"what could you get an unsmooth pit from?, backyard, peach, or cherry? commonsense says",peach is the only fruit with the unsmooth pit,peach is a sweet nutritium that is found underground.
"john was traveling to a new city and took time to check out a business. he noticed that its carpet was stained with sauces and ketchup. what type of business might that be?, at hotel, restaurant, or bowling alley? commonsense says","if a business has floors stained with ketchup, it is likely to be a restaurant",a grocery store is the only place that would sell a new carpet.
"the poor girls needed a light to see, what was the relationship between that light and finishing her homework?, forceful, crucial, or cumbersome? commonsense says",this one doesn't make sense,light is the only thing that could be contained in a bedroom.
"why would a person put flowers in a room with dirty gym socks?, continue to grow, many colors, or smell good? commonsense says","flowers would combat the gym socks and make the room smell good, so that's the answer.",the only place that might have
"the earth is one planet in what?, orbit, solar system, or tree? commonsense says",the earth solar system is one planet,an orbit is the best part of an object being part of it.
"if you were looking for a blowfish, you wouldn't look on dry land, you'd look in a what?, body of water, jungle, or sea water? commonsense says",blowfishes swim in bodies of water,"blowfish live in the water, and not on the water, and it's clear that there are no water in the water."
"where could you get some knives if you are planning to bring them outside with you?, sporting goods store, kitchen, or backpack? commonsense says",a kitchen is a room or part of a room used for cooking and food preparation in a dwelling or in a commercial establishment,in safety in backpack.
"the water in clouds turn in to what when it gets cold?, typhoon, snowflake, or teardrops? commonsense says",i consider it the best option because they have to be more true,"when a rain storm is cold, it gets cold"
"what would encourage someone to continue playing tennis?, victory, tennis elbow, or becoming tired? commonsense says","people like to win, so winning would make them play more",is the best since it is the best backup
"the old style pop ups literally let you see the story when you did what?, go to movies, visualize, or open book? commonsense says",open book the old style pop ups literally let you see the story when you did what?,the old movies are the best way to see things that are old.
"how will you communicate if you are far away from who you want to communicate with?, talk to people, talk with people, or send email? commonsense says",blue ridge mountains pennsylvania send email,talk is the only option that would be available to speak to someone.
"what is the process of going somewhere?, transporting, car, or energy? commonsense says",""" she was completely transported by the excitement of her passion ""","transportation is made up of energy, energy is made up of energy."
"where would walk through a central passage to catch an elevator?, tomb, public building, or arena? commonsense says",- a building that is :'occupied by a public authority and frequently visited,a public building has a central passage to access to stairs.
"what is a place that is far away from your house and where you could consume beer?, neighbor's house, friend's house, or keg? commonsense says",you can consume beer at a friends house.,"you can't reach a friend's house or town, but you're not from a town, you're probably away from your neighbor's house. you're not from a town, and you're not from from a town, you're not from a friend's house, so you're from around, you're not from from around. you're from from from your home. you're not from from from around town, and you're not "" home. you're not from from from from a house, and you're not "" away "", so you"
"the man took paperwork to other people to consult over it, where was he heading?, meeting, desk, or office? commonsense says",a meeting is most likely to have other people where a man might take paperwork.,"he is in a meeting, so he would take notes on it"
"if it's not used for hair a round brush is an example of what?, art supplies, hair salon, or shower? commonsense says",if it's not used for hair a art supplies is an example of what,hair is styled to make a round shape
"though a mouse might prefer your house, you might also see him where?, small hole, department store, or garden? commonsense says","garden design ideas, inspiration & pictures | homify","a mouse can live in a garden, but not in a house or a house"
"if you wanted a license to catch crabs, what government office would you go to?, fancy restaurant, most offices, or fish department? commonsense says",crabs are a type of fish and you would go to a fish department to get a license,the government has to use the crab to catch the fish.
"i saw the receptionist carelessly toss my resume into the drawer, where did i want it to end up?, file cabinet, nightstand, or office desk? commonsense says","if one is tossing a resume into a drawer, it is likely to be in an office desk","receptionist at the desk, and the other two options would not be there"
"what is it called when a person tends to leave things to the last minute?, complete collection, have to hold, or procrastinate? commonsense says",procrastination usually comes last minute,the last thing they do is put down the list of things.
"because of his anger he couldn't clearly explain or what?, illustrate point, destroy enemy, or cool off? commonsense says",when he is anger does not able to tell the correct explain on the point,an event is the only thing that could be used to explain something.
"he wanted lodging in the actual what, so that he was already where he needed to be?, big city, resort area, or michigan? commonsense says","lodging in a resort area is the most appealing, so it is b.",it is the most logical place to find a hotel in an urban area
"what do you do when you need to get food?, disneyland, shop, or refrigerators? commonsense says","shop because that is how you get food, you shop for it.",you get food from shop or restaurants
"what would you need to be before getting divorced?, married, connected, or engaged? commonsense says",i getting divorced after i re marriage my sweet sheik baby,you are married to someone who is married to you.
"what is the thing that is agitated in your head when kissing?, catch cold, sexual stimulation, or happiness? commonsense says",agitated in your head when kissing happy in my natures,the only logical answer for being in a trance is fear.
"james couldn't get comfortable. there was too much dirt. he needed to clean out what?, bed, street, or subway? commonsense says","a bed is where you need to be comfortable to sleep. unless he was sleeping in a street or subway, then bed is the best choice.",the street is the only area that is covered with dirt.
"the runner was in third place, but he pushed harder and thought he might be able to reach second. what was beginning to do?, gain ground, get tired, or trip over? commonsense says",since the runner was still in third place he gained ground.,if you are running you will be running away.
"where would you expect to find white mice?, countryside, attic, or laboratory? commonsense says",in the laboratory we find the white mice,"white mice are found in the countryside, unlike the other options"
"at the new comic store he found himself making friends, it was nice to meet people with what?, common interests, smiling, or open mind? commonsense says",people who go to comic stores have common interests,when you are having fun with friends you want to interact with them.
"if i'm playing ball, i'm mostly trying to do what?, injury, having fun, or losing? commonsense says",people playing ball have fun.,"if you are playing a game, you will be trying to get the ball to the game."
"she loved spending money at the thrift store on knickknacks, this resulted in a lot of what on every shelf in her house?, satisfaction, clutter, or getting? commonsense says",she loved spending money clutter thrift store on knickknacks,thrift store is the only place that sells items that are unselfeted.
"john wanted to clean all of the dust out of his place before settling down to watch his favorite shows. what might he hardest do dust?, attic, television, or most buildings? commonsense says",attic only hardest to clean.,loft is the only place that is not likely to have lofts.
"sam was a stranger. even so, mark treated him like what?, friend, family, or known person? commonsense says",family a stranger. even so,a friend's house is the only place that is not likely to hold a stranger.
"joe is a squirrel, which is an animal. he probably lives in what sort of place., cafe, woodland, or outside? commonsense says",squirrels usually live around trees,tree is a habitat for squirrels and rodents.
"what is another name for the color of the fur of a dog with light colored fur?, fair, game, or sun? commonsense says",the lit of colour of fur another name is fair colour,brown dogs are known to have a soft skin
"where is one likely to find a brownstone?, ring, subdivision, or new york city? commonsense says","brownstones are prominent in nyc, not the other two",i consider it the best option because they have to be more true
"what very large group of western citizens has bees everywhere?, trash can, united states, or bouquet of flowers? commonsense says",the united states are western citizens.,the united states is the only place that is not likely to contain a thousand people.
"jim decided to lose weight. he thought that exercise is the best way to lose weight because you can't get rid of what?, sweating, need for food, or thirst? commonsense says",exercise need for food,losing weight will cause you to lose weight.
"what is a place that could have dust mites that is on the ground?, bed, cellar, or rug? commonsense says",more dust was in rug,cellar place that could be dust that is mitt on the ground
"where might an unused chess set be stored?, toy store, cupboard, or michigan? commonsense says",storage is usually done in a cupboard,a toy store is the only place where it would be stored.
"if someone found out their brother was having a daughter, they would have to add a niece limb to the what?, brother's house, family tree, or family reunion? commonsense says",if someone found family tree their brother was having a daughter,the uncle is brother of the nieces and has no children.
"where is food likely to stay dry?, fridge, oven, or cupboard? commonsense says","a recess or piece of furniture with a door and typically shelves, used for storage.",food is stored in a fridge.
"if you own a cat where is the last place you'd want to find it?, nature, trouble, or dog's mouth? commonsense says","like young humans, puppies and kittens have baby teeth. we call them “ deciduous ” or temporary teeth.",the best place to find a cat is in the woods.
"what are people likely to do when an unexpected decent outcome occurs?, kill each other, thank god, or experience pain? commonsense says","people thank god for random good fortune, and usually dont kill each other or experience pain.",the outcome of the action is surprise.
"the criminal insisted he must do the crime to the bank teller, but she tried to convince him there were other ways in life and this was what?, unnecessary, optional, or should not? commonsense says",the criminal is fake,the only thing that could be done is the street.
"if it is chrismas time what came most recently before?, easter, halloween, or summer? commonsense says","halloween is a 2018 american slasher film directed by david gordon green and written by green, jeff fradley, and danny mcbride. it is the eleventh film in the...",this is the next event that occurs in the next month.
"aside from water and nourishment what does your dog need?, petted, bone, or lots of attention? commonsense says",water and nourishment is a good,dogs need to be refrigerated by hand and water to clean themselves
"what is the primary purpose of cars?, slow down, move people, or cost money? commonsense says",going places is the primary reason to use a car,cars are meant to be used to accelerate.
"we call something a bargain when it has what done to the price?, off, rip, or expensive? commonsense says",we call something a bargain when we try to reduce its value.,something that costs costs it so the price is higher
"sometimes a person has a fear of water or a dislike of being wet, it is still important to make sure they are having a bath why?, wet skin, drowning, or rash? commonsense says",a rash is the only option where not only are you getting wet but also being wet for a period of time.,you can't feel ashamed if you are bathing and you're bathing in a water to avoid embarrassment.
"what leads to an early death?, nuclear weapons, homicide, or poisonous gas? commonsense says",i consider it the best option because they have to be more true,nuclear weapon is the most likely choice for the three
"after the weight cut he was worried about his energy levels, but this was part of participating in a what?, work, wrestle, or play sports? commonsense says",wrestle the weight cut he was worried about his energy levels,wrestling is a sport that requires strength and conditioning
"he has lactose intolerant, but was eating dinner made of cheese, what followed for him?, indigestion, illness, or feel better? commonsense says",indigestion has lactose intolerant,"due to the condition of mold that can become unconfertible, it is iletic and unprofertible due to the unprofertilization."
"what could bring a container from one place to another?, food, cargo ship, or port? commonsense says",food and ports don't carry containers to other places.,shipping container is a type of transportation
"where might the stapler be if i cannot find it?, desk drawer, desktop, or office building? commonsense says",where might the stapler is desks,offices contain desks and probably a desk drawer
"when is the worst time for having food?, weight gain, not hungry, or digesting? commonsense says",reasons you're not hungry,"food is not in the food test, and it's not safe to eat in a food store."
"what do animals do when an enemy is approaching?, listen to each other, pass water, or feel pleasure? commonsense says",they listen to each other so they understand their communication,the other options are not something a lizard is doing when it is threatened with another species.
"if i were to spit a lot without noticing i may have extra what?, saliva nd mouth, spittle, or phlegm? commonsense says",which may also be caused by decreased clearance of saliva,spit smells like the other two choices
"joe found spiders while checking something outside. what might that be?, cupboard, garage, or mail box? commonsense says",the cupboard is located in the kitchen which is part of the inside of the house and the garage is also attached to the house and isn't outside. the mail box is the only option because it's located outside of the house and it's something that is checked frequently to see if there's mail.,windowsill is the only place someone would find spiders in the dark.
"where do people want to have a lot of coffee?, office, table, or kitchen? commonsense says",office people want a lot of coffee,"you would want to have a coffee in a kitchen, not a kitchen cabinet or kitchen cabinet."
"the lady would eat and eat, and because of mental issues would then make herself what?, drinking, throwing up, or throw up? commonsense says","nov 8, 2018 - this "" how to eat a woman out "" post gives some * very * specific tips.... using a sex toy while going down on someone could give you a golden...",eating does not cause you to have to overeat or throw up
"you'd find the orkney islands within the marginal what?, scotland, north sea, or atlantic? commonsense says",north sea can be see,north america is a part of the world.
"where can you store you spare linens near your socks?, dresser drawers, hospital, or cabinet? commonsense says",don't store your extra sheets in your linen closet!... the first was that we had way more spare sheets and pillowcases than we really needed,a drawer is the only place that is not likely to be kept.
"if while driving to work another car makes a careless maneuver, what emotion might you feel?, transportation cost, road rage, or getting there? commonsense says",a careless maneuver results in road rage,"cars can drive around a road, but not necessarily a car."
"the end of the barrel of what primitive firearm is bell shaped?, wind instrument, blunderbuss, or funnel? commonsense says",blunderbuss is bell shaped.,a horn is the only fitting part of a military instrument.
"what do geese do every fall in fields?, guard house, group together, or fly? commonsense says","during midday, some geese return to their roost site to rest or “ loaf, ” but many remain in fields all day. canada geese feed on a variety of wild and cultivated plants and plant parts but mainly eat corn.... wildlife managers sometimes plant corn on or near a refuge area to attract geese.",geese are found in the fields so that is the best choice.
"june loved devil's food. john didn't. he preferred something else. what did he prefer?, cakewalk, angel, or god? commonsense says",angel is the opposite of the devil. the other choices dont make sense,i consider it the best option because they have to be more true
"while walking the student needed to store his writing insturment away, where did he put it?, desk drawer, pocket, or classroom? commonsense says",pocket is used to store many things.,"a desk drawer is where you would keep your writing pen, so it is safe to store it safely in a safe place."
"billy hated using other people's toilets. he was only comfortable on his own. so whenever he needed to poop, he would go back to his what?, motel room, house, or bathroom? commonsense says",house comfortable on his own. so whenever he needed to poop,toilets are located in bathrooms.
